         11980 function calls (11725 primitive calls) in 0.066 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        5    0.000    0.000    0.000    0.000 common.py:546(is_string_dtype)
        1    0.000    0.000    0.000    0.000 common.py:647(is_datetimelike)
        7    0.000    0.000    0.000    0.000 common.py:692(is_dtype_equal)
        1    0.000    0.000    0.000    0.000 common.py:77(_is_url)
       14    0.000    0.000    0.000    0.000 common.py:811(is_integer_dtype)
        5    0.000    0.000    0.000    0.000 common.py:858(is_signed_integer_dtype)
       29    0.000    0.000    0.001    0.000 common.py:89(is_object_dtype)
        5    0.000    0.000    0.000    0.000 common.py:907(is_unsigned_integer_dtype)
        1    0.000    0.000    0.000    0.000 common.py:95(_expand_user)
        1    0.000    0.000    0.000    0.000 common.py:995(is_int_or_datetime_dtype)
        1    0.000    0.000    0.000    0.000 concat.py:105(_get_sliced_frame_result_type)
        1    0.000    0.000    0.000    0.000 contextlib.py:210(contextmanager)
        1    0.000    0.000    0.003    0.003 datetimes.py:106(to_datetime)
        1    0.000    0.000    0.000    0.000 datetimes.py:276(_convert_listlike)
        1    0.000    0.000    0.002    0.002 datetimes.py:39(_maybe_cache)
        5    0.000    0.000    0.000    0.000 dtypes.py:266(construct_from_string)
        4    0.000    0.000    0.000    0.000 dtypes.py:401(__new__)
        4    0.000    0.000    0.000    0.000 dtypes.py:459(construct_from_string)
        5    0.000    0.000    0.000    0.000 dtypes.py:584(is_dtype)
        2    0.000    0.000    0.000    0.000 dtypes.py:675(construct_from_string)
       15    0.000    0.000    0.000    0.000 dtypes.py:707(is_dtype)
        2    0.000    0.000    0.005    0.003 frame.py:2664(__getitem__)
        1    0.000    0.000    0.000    0.000 frame.py:2690(_getitem_column)
        1    0.000    0.000    0.004    0.004 frame.py:2707(_getitem_array)
        1    0.000    0.000    0.000    0.000 frame.py:3093(_box_item_values)
        1    0.000    0.000    0.000    0.000 frame.py:3100(_box_col_values)
        1    0.000    0.000    0.000    0.000 frame.py:320(_constructor)
        2    0.000    0.000    0.016    0.008 frame.py:334(__init__)
        1    0.000    0.000    0.016    0.016 frame.py:426(_init_dict)
        1    0.000    0.000    0.009    0.009 frame.py:7349(_arrays_to_mgr)
        1    0.000    0.000    0.004    0.004 frame.py:7644(_homogenize)
        1    0.000    0.000    0.000    0.000 function.py:38(__call__)
        1    0.000    0.000    0.000    0.000 functools.py:37(update_wrapper)
        1    0.000    0.000    0.000    0.000 functools.py:67(wraps)
       10    0.000    0.000    0.000    0.000 generic.py:124(__init__)
        1    0.000    0.000    0.000    0.000 generic.py:1490(__hash__)
        3    0.000    0.000    0.000    0.000 generic.py:164(_validate_dtype)
        1    0.000    0.000    0.000    0.000 generic.py:178(_init_mgr)
        1    0.000    0.000    0.000    0.000 generic.py:2484(_get_item_cache)
        1    0.000    0.000    0.000    0.000 generic.py:2498(_set_as_cached)
        1    0.000    0.000    0.000    0.000 generic.py:2603(_set_is_copy)
        1    0.000    0.000    0.004    0.004 generic.py:2783(_take)
        1    0.000    0.000    0.000    0.000 generic.py:317(_construct_axes_from_arguments)
        1    0.000    0.000    0.000    0.000 generic.py:349(<dictcomp>)
        4    0.000    0.000    0.000    0.000 generic.py:364(_get_axis_number)
        1    0.000    0.000    0.002    0.002 generic.py:3647(reindex)
        2    0.000    0.000    0.000    0.000 generic.py:3674(<genexpr>)
        1    0.000    0.000    0.002    0.002 generic.py:3691(_reindex_axes)
        4    0.000    0.000    0.000    0.000 generic.py:377(_get_axis_name)
        1    0.000    0.000    0.001    0.001 generic.py:3789(_reindex_with_indexers)
        4    0.000    0.000    0.000    0.000 generic.py:390(_get_axis)
        2    0.000    0.000    0.000    0.000 generic.py:394(_get_block_manager_axis)
        4    0.000    0.000    0.000    0.000 generic.py:4345(__finalize__)
       10    0.000    0.000    0.000    0.000 generic.py:4362(__getattr__)
       13    0.000    0.000    0.000    0.000 generic.py:4378(__setattr__)
        2    0.000    0.000    0.000    0.000 generic.py:4423(_protect_consolidate)
        2    0.000    0.000    0.000    0.000 generic.py:4433(_consolidate_inplace)
        2    0.000    0.000    0.000    0.000 generic.py:4436(f)
        1    0.000    0.000    0.001    0.001 generic.py:6224(isnull)
      307    0.001    0.000    0.002    0.000 generic.py:7(_check)
        1    0.000    0.000    0.001    0.001 generic.py:9675(logical_func)
        1    0.000    0.000    0.000    0.000 indexing.py:2321(convert_to_index_sliceable)
        1    0.000    0.000    0.000    0.000 indexing.py:2345(check_bool_indexer)
        1    0.000    0.000    0.000    0.000 indexing.py:2441(maybe_convert_indices)
        7    0.000    0.000    0.000    0.000 inference.py:119(is_iterator)
        1    0.000    0.000    0.000    0.000 inference.py:158(is_file_like)
       21    0.000    0.000    0.001    0.000 inference.py:251(is_list_like)
        2    0.000    0.000    0.000    0.000 inference.py:415(is_hashable)
       16    0.000    0.000    0.001    0.000 internals.py:116(__init__)
        6    0.000    0.000    0.003    0.001 internals.py:1237(take_nd)
       16    0.000    0.000    0.000    0.000 internals.py:127(_check_ndim)
        1    0.000    0.000    0.000    0.000 internals.py:199(external_values)
        6    0.000    0.000    0.000    0.000 internals.py:203(internal_values)
        1    0.000    0.000    0.000    0.000 internals.py:2136(fill_value)
        2    0.000    0.000    0.000    0.000 internals.py:222(to_dense)
        4    0.000    0.000    0.000    0.000 internals.py:229(fill_value)
        5    0.000    0.000    0.000    0.000 internals.py:2298(__init__)
       41    0.000    0.000    0.000    0.000 internals.py:233(mgr_locs)
       16    0.000    0.000    0.000    0.000 internals.py:237(mgr_locs)
        2    0.000    0.000    0.000    0.000 internals.py:2632(__init__)
        2    0.000    0.000    0.000    0.000 internals.py:2637(_maybe_coerce_values)
        7    0.000    0.000    0.000    0.000 internals.py:269(make_block_same_class)
       20    0.000    0.000    0.002    0.000 internals.py:3148(get_block_type)
       16    0.000    0.000    0.002    0.000 internals.py:3191(make_block)
        2    0.000    0.000    0.001    0.001 internals.py:3265(__init__)
        2    0.000    0.000    0.000    0.000 internals.py:3266(<listcomp>)
        8    0.000    0.000    0.000    0.000 internals.py:3307(shape)
       23    0.000    0.000    0.000    0.000 internals.py:3309(<genexpr>)
       11    0.000    0.000    0.000    0.000 internals.py:3311(ndim)
        1    0.000    0.000    0.000    0.000 internals.py:3351(_is_single_block)
        2    0.000    0.000    0.001    0.000 internals.py:3363(_rebuild_blknos_and_blklocs)
        5    0.000    0.000    0.000    0.000 internals.py:3384(_get_items)
        1    0.000    0.000    0.000    0.000 internals.py:3473(__len__)
       10    0.000    0.000    0.000    0.000 internals.py:348(shape)
        2    0.000    0.000    0.000    0.000 internals.py:3488(_verify_integrity)
       12    0.000    0.000    0.000    0.000 internals.py:3490(<genexpr>)
       23    0.000    0.000    0.000    0.000 internals.py:352(dtype)
       10    0.000    0.000    0.000    0.000 internals.py:356(ftype)
        1    0.000    0.000    0.000    0.000 internals.py:372(iget)
        4    0.000    0.000    0.000    0.000 internals.py:3776(is_consolidated)
        2    0.000    0.000    0.000    0.000 internals.py:3784(_consolidate_check)
        2    0.000    0.000    0.000    0.000 internals.py:3785(<listcomp>)
        2    0.000    0.000    0.000    0.000 internals.py:4085(consolidate)
        3    0.000    0.000    0.000    0.000 internals.py:4101(_consolidate_inplace)
        1    0.000    0.000    0.000    0.000 internals.py:4108(get)
        1    0.000    0.000    0.000    0.000 internals.py:4137(iget)
        2    0.000    0.000    0.004    0.002 internals.py:4388(reindex_indexer)
        1    0.000    0.000    0.003    0.003 internals.py:4423(<listcomp>)
        1    0.000    0.000    0.001    0.001 internals.py:4431(_slice_take_blocks_ax0)
        1    0.000    0.000    0.004    0.004 internals.py:4518(take)
        6    0.000    0.000    0.001    0.000 internals.py:4639(__init__)
       15    0.000    0.000    0.000    0.000 internals.py:4684(_block)
        1    0.000    0.000    0.000    0.000 internals.py:4709(index)
        6    0.000    0.000    0.000    0.000 internals.py:4718(dtype)
        1    0.000    0.000    0.000    0.000 internals.py:4742(external_values)
        6    0.000    0.000    0.000    0.000 internals.py:4745(internal_values)
